Date,R,CGDP,CPIR,INVR,HP,IR,ROP,IROR,LSOI,RGDP,RGDP.1,MA,TOBQ,CGDP_change,HP_change,IR_change,LSOI_change
1988Q1,0.0,122.9,0.7803468208092523,-0.006797511654030419,1.548712485049908,4.939653179190747,126.748,32.87686641720503,111.922,9367.502,0.5168825405082789,54.6,0.5104,0.20000000000000284,-0.4420261158669889,0.013142094009872096,0.7740000000000009
1988Q2,0.0,123.9,1.1471178663607695,0.04095505278754463,2.470365804069674,5.062882133639231,132.324,6.117382753258361,111.969,9490.594,1.3140322788294911,59.3,0.5228,1.0,0.921653319019766,0.12322895444848392,0.046999999999997044
1988Q3,0.0,124.2,1.219166430394103,0.01711401984253591,2.7466097994149674,5.790833569605897,138.364,6.2159330127701,111.745,9546.206,0.5859696453140995,54.5,0.5042,0.29999999999999716,0.2762439953452933,0.7279514359666654,-0.22399999999998954
1988Q4,0.0,124.9,1.092436974789912,0.02545514367185797,2.4970205230614884,6.637563025210088,144.836,52.18031825945526,111.038,9673.405,1.332456056364184,56.0,0.5158,0.7000000000000028,-0.24958927635347905,0.8467294556041915,-0.7070000000000078
1989Q1,0.0,124.5,1.1360487669714647,0.01679126426455335,2.1098589696687764,7.403951233028534,151.773,-54.32184068118953,110.723,9771.725,1.016394950898869,51.5,0.5152,-0.4000000000000057,-0.38716155339271197,0.7663882078184461,-0.3149999999999977
1989Q2,0.0,125.0,1.6164383561643625,0.011637618201133959,1.4973887960133323,6.793561643835638,157.641,-17.998004097722927,109.476,9846.293,0.7630996574299775,47.3,0.5473,0.5,-0.6124701736554441,-0.6103895891928968,-1.2469999999999999
1989Q3,0.0,124.7,0.7818819088703188,0.03646594730154895,1.3480414579413402,7.058118091129681,162.502,-3.932238799990978,109.166,9919.228,0.7407356250722863,46.0,0.5923,-0.29999999999999716,-0.14934733807199208,0.2645564472940434,-0.3100000000000023
1989Q4,0.0,125.2,1.016586409844833,0.012262676481622936,1.263673936930898,6.633413590155167,166.338,-34.94971547551806,110.149,9938.767,0.1969810553805295,47.4,0.6208,0.5,-0.0843675210104422,-0.4247045009745136,0.9830000000000041
1990Q1,0.0,125.5,1.7213983050847317,0.030265491987671922,1.3912523899245244,6.038601694915268,169.079,14.385622387833711,110.182,10047.386,1.0928820446238552,49.9,0.5984,0.29999999999999716,0.12757845299362636,-0.5948118952398991,0.03300000000000125
1990Q2,0.0,125.5,0.9893256964332188,0.0016987139408046739,0.0961768857662193,6.760674303566781,170.351,19.69060061055205,110.469,10083.855,0.3629700302148153,49.2,0.6232,0.0,-1.295075504158305,0.722072608651513,0.28699999999999193
1990Q3,1.0,125.2,1.7272492910544113,0.01966436714500808,-0.2411613226136921,5.752750708945589,171.17,-50.01524464963287,110.63,10090.569,0.0665816793280038,44.5,0.5271,-0.29999999999999716,-0.3373382083799114,-1.0079235946211922,0.16100000000000136
1990Q4,1.0,125.1,1.6979219462746942,-0.004644706334392512,-0.4614223688150787,5.292078053725306,168.116,-19.822409707030868,111.612,9998.704,-0.910404556967992,40.8,0.5793,-0.10000000000000853,-0.2202610462013866,-0.4606726552202831,0.9819999999999993
1991Q1,0.0,124.4,0.7475703962123381,-0.00453959705635798,-0.730183827816866,5.2724296037876615,164.656,19.275828625617386,110.902,9951.916,-0.4679406451076118,40.7,0.6639,-0.6999999999999886,-0.2687614590017873,-0.019648449937644585,-0.7099999999999937
1991Q2,0.0,124.7,0.5936186000494503,-0.0029217088480064653,0.6958383374256805,4.966381399950549,160.04,-12.611534054769903,110.641,10029.51,0.7796890568610104,50.3,0.6549,0.29999999999999716,1.4260221652425464,-0.3060482038371122,-0.2609999999999957
1991Q3,0.0,123.8,0.762232603884927,-0.009303655688480015,-0.3160566408183296,4.617767396115073,154.376,-18.448864565879344,110.286,10080.195,0.5053586865160886,54.9,0.7025,-0.9000000000000057,-1.01189497824401,-0.34861400383547636,-0.355000000000004
1991Q4,0.0,123.1,0.829673011224985,0.003346515409558437,-0.2609908482889889,3.710326988775015,147.67,-24.888527674397945,110.855,10115.329,0.3485448446185923,46.8,0.8198,-0.7000000000000028,0.05506579252934074,-0.9074404073400579,0.5690000000000026
1992Q1,0.0,122.0,0.6776379477250849,-0.000145765884645432,0.2223073694102684,3.2123620522749152,140.578,7.158292831680913,111.299,10236.435,1.1972522099874316,54.6,0.8288,-1.0999999999999943,0.4832982176992573,-0.49796493650009976,0.4440000000000026
1992Q2,0.0,121.0,0.7692307692307665,0.034334788647018666,-0.1877631506296939,2.9107692307692337,133.267,1.57393891539949,110.934,10347.429,1.0843032755055937,53.6,0.8265,-1.0,-0.4100705200399623,-0.30159282150568156,-0.3650000000000091
1992Q3,0.0,120.2,0.7633587786259444,0.019875483812339167,-0.1426638670019908,2.316641221374056,127.848,-19.773741581307473,110.668,10449.673,0.9881101865980568,49.7,0.8558,-0.7999999999999972,0.0450992836277031,-0.5941280093951775,-0.26599999999999113
1992Q4,0.0,119.2,0.8759469696969724,0.02568173056640544,0.2972316313020862,2.1940530303030275,123.578,39.17545924116063,109.765,10558.648,1.0428555994048685,54.2,0.9517,-1.0,0.439895498304077,-0.1225881910710287,-0.9030000000000058
1993Q1,0.0,118.2,0.7275287491199434,0.009433611028868194,0.3029345183705789,2.2324712508800566,120.512,-24.79770171982132,109.14,10576.275,0.166943722340207,53.5,0.9783,-1.0,0.005702887068492701,0.03841822057702915,-0.625
1993Q2,0.0,118.3,0.7222739981360471,0.010850627362268384,0.4845416195032648,2.247726001863953,118.068,47.90345189073194,109.978,10637.847,0.5821709439287392,49.6,0.9712,0.09999999999999432,0.1816071011326859,0.015254750983896503,0.8379999999999939
1993Q3,0.0,118.5,0.4626416840157521,0.011107713371303118,0.7038266031464957,2.537358315984248,116.302,3.212896976543057,109.225,10688.606,0.477154822775705,50.8,0.9845,0.20000000000000284,0.2192849836432309,0.2896323141202948,-0.7530000000000001
1993Q4,0.0,118.8,0.8289201013124581,0.03980829605852154,0.912412134489582,2.231079898687542,115.271,70.88871396955865,108.995,10833.987,1.360149302911906,55.6,1.014,0.29999999999999716,0.20858553134308633,-0.3062784172967059,-0.22999999999998977
1994Q1,0.0,118.8,0.5023978077186575,0.013128300047099195,0.3100328607640534,2.7376021922813427,114.799,19.9747164430311,107.68,10939.116,0.9703629882517052,56.9,0.9562,0.0,-0.6023792737255287,0.5065222935938007,-1.3149999999999977
1994Q2,0.0,118.9,0.5680527152919668,0.019505781756433915,0.5799315638349789,3.421947284708033,115.474,39.65563079426049,107.99,11087.361,1.355182630845131,58.8,0.9174,0.10000000000000853,0.2698987030709255,0.6843450924266903,0.30999999999998806
