,IR_nom,CPIR,IR_real
1963Q1,2.91,0.3181917928461786,2.5918082071538215
1963Q2,2.94,0.18593459477194152,2.7540654052280584
1963Q3,3.29,0.6113537117903967,2.6786462882096034
1963Q4,3.5,0.27126736111111605,3.228732638888884
1964Q1,3.53,0.4112109079104087,3.118789092089591
1964Q2,3.48,0.16165535079211146,3.3183446492078885
1964Q3,3.5,0.2259522272433756,3.2740477727566244
1964Q4,3.68,0.46162104133118387,3.2183789586688163
1965Q1,3.89,0.3098952767685459,3.5801047232314542
1965Q2,3.87,0.639181847235526,3.230818152764474
1965Q3,3.87,0.2963903884831254,3.5736096115168747
1965Q4,4.17,0.5277044854881341,3.642295514511866
1966Q1,4.61,0.9343832020997089,3.6756167979002914
1966Q2,4.59,0.9049303099646577,3.685069690035342
1966Q3,5.04,0.8658901144211972,4.174109885578803
1966Q4,5.21,0.8175779253960069,4.392422074603993
1967Q1,4.51,0.25342118601114905,4.256578813988851
1967Q2,3.66,0.6066734074822833,3.053326592517717
1967Q3,4.3,1.005025125628145,3.2949748743718548
1967Q4,4.75,1.0945273631840724,3.6554726368159276
1968Q1,5.05,0.984251968503913,4.065748031496087
1968Q2,5.52,0.974658869395717,4.545341130604283
1968Q3,5.2,1.3513513513513598,3.8486486486486404
1968Q4,5.59,1.2380952380952381,4.351904761904762
1969Q1,6.09,1.2229539040451654,4.8670460959548345
1969Q2,6.2,1.579925650557601,4.620074349442399
1969Q3,7.02,1.3723696248856276,5.647630375114372
1969Q4,7.35,1.534296028880866,5.815703971119134
1970Q1,7.21,1.6000000000000014,5.6099999999999985
1970Q2,6.68,1.3998250218722585,5.280174978127741
1970Q3,6.33,1.035375323554777,5.294624676445223
1970Q4,5.35,1.451750640478222,3.8982493595217775
1971Q1,3.84,0.8417508417508213,2.9982491582491786
1971Q2,4.25,0.9181969949916713,3.3318030050083287
1971Q3,5.01,0.9925558312654958,4.017444168734504
1971Q4,4.23,0.7371007371007376,3.492899262899263
1972Q1,3.44,0.8130081300813163,2.6269918699186836
1972Q2,3.77,0.6451612903225712,3.124838709677429
1972Q3,4.22,0.8012820512820484,3.4187179487179513
1972Q4,4.86,1.0333863275039823,3.826613672496018
1973Q1,5.7,1.5735641227379915,4.126435877262009
1973Q2,6.6,2.091402013942689,4.50859798605731
1973Q3,8.32,1.9726858877086473,6.347314112291353
1973Q4,7.5,2.529761904761907,4.970238095238093
1974Q1,7.62,2.9753265602321832,4.644673439767817
1974Q2,8.15,2.6779422128259567,5.472057787174044
1974Q3,8.19,2.8140013726836166,5.375998627316383
1974Q4,7.36,3.0707610146862407,4.28923898531376
1975Q1,5.75,2.1373056994818507,3.6126943005181493
1975Q2,5.39,1.2048192771084265,4.185180722891573
1975Q3,6.33,2.005012531328343,4.324987468671657
1975Q4,5.63,1.8427518427518441,3.7872481572481558
1976Q1,4.92,1.1459589867309772,3.7740410132690227
1976Q2,5.16,0.8944543828264706,4.2655456171735295
1976Q3,5.15,1.5957446808510634,3.554255319148937
1976Q4,4.67,1.4543339150668855,3.2156660849331145
1977Q1,4.63,1.83486238532109,2.79513761467891
1977Q2,4.84,1.745495495495497,3.0945045045045028
1977Q3,5.5,1.3835085777531786,4.116491422246821
1977Q4,6.11,1.473799126637565,4.636200873362435
1978Q1,6.39,1.7213555675094083,4.668644432490591
1978Q2,6.48,2.2739291380222237,4.206070861977777
1978Q3,7.31,2.326783867631854,4.983216132368145
1978Q4,8.57,2.3244062657908016,6.245593734209199
1979Q1,9.38,2.51851851851852,6.861481481481481
1979Q2,9.38,3.17919075144506,6.200809248554941
1979Q3,9.67,3.2212885154061732,6.448711484593827
1979Q4,11.84,3.165988240615114,8.674011759384886
1980Q1,13.35,3.945637878123609,9.40436212187639
1980Q2,9.62,3.3741037536904273,6.245896246309572
1980Q3,9.15,1.8767849857201035,7.273215014279897
1980Q4,13.61,2.8033640368442025,10.806635963155797
1981Q1,14.39,2.7658745617452407,11.62412543825476
1981Q2,14.91,2.0849128127369054,12.825087187263094
1981Q3,15.05,2.7849981433345716,12.265001856665428
1981Q4,11.75,1.6257225433526035,10.124277456647397
1982Q1,12.81,0.8887308922858272,11.921269107714174
1982Q2,12.42,1.444679351656064,10.975320648343935
1982Q3,9.32,1.7367141368530792,7.583285863146921
1982Q4,7.91,0.3072721065210171,7.602727893478983
1983Q1,8.11,0.0680735194009463,8.041926480599052
1983Q2,8.4,1.1564625850340127,7.243537414965988
1983Q3,9.14,0.9751176866173772,8.164882313382623
1983Q4,8.8,0.9990009990010096,7.800999000998991
1984Q1,9.17,1.4177382129904492,7.752261787009551
1984Q2,9.8,0.942782834850453,8.857217165149548
1984Q3,10.32,0.8695652173912993,9.450434782608701
1984Q4,8.8,0.8620689655172376,7.937931034482763
1985Q1,8.18,0.9180120291231386,7.261987970876861
1985Q2,7.46,0.9096612296110473,6.550338770388953
1985Q3,7.11,0.6216972334472937,6.488302766552707
1985Q4,7.17,1.019462465245602,6.150537534754398
1986Q1,6.9,0.5198776758409851,6.380122324159015
1986Q2,6.14,-0.4867660480681324,6.6267660480681325
1986Q3,5.52,0.6114338122898078,4.908566187710192
1986Q4,5.35,0.6988757216651376,4.651124278334862
1987Q1,5.54,1.207000603500319,4.332999396499681
1987Q2,5.66,1.1329755515802065,4.527024448419794
1987Q3,6.04,1.0613207547169878,4.978679245283012
1987Q4,5.86,0.933488914819125,4.926511085180875
1988Q1,5.72,0.7803468208092523,4.939653179190747
1988Q2,6.21,1.1471178663607695,5.0628821336392305
1988Q3,7.01,1.219166430394103,5.790833569605897
