date,GFCF,INVR
1963Q1,44294.0,
1963Q2,45766.0,3.323249198537037
1963Q3,47119.0,2.956343136826467
1963Q4,48550.0,3.036991447186921
1964Q1,49624.0,2.212152420185376
1964Q2,51001.0,2.7748669998387987
1964Q3,52678.0,3.288170820180003
1964Q4,54090.0,2.6804358555753804
1965Q1,57701.0,6.675910519504535
1965Q2,60143.0,4.232162354205293
1965Q3,62815.0,4.442744791580067
1965Q4,66132.0,5.2805858473294665
1966Q1,69416.0,4.96582592390975
1966Q2,71614.0,3.1664169643886186
1966Q3,73030.0,1.977267014829498
1966Q4,73734.0,0.9639874024373496
1967Q1,72873.0,-1.1677109610220504
1967Q2,73153.0,0.3842300989392422
1967Q3,73581.0,0.585075116536582
1967Q4,75874.0,3.1162936084043524
1968Q1,78792.0,3.845849698183823
1968Q2,78596.0,-0.24875621890547706
1968Q3,80320.0,2.1934958522062287
1968Q4,83645.0,4.13969123505975
1969Q1,86385.0,3.275748699862513
1969Q2,88085.0,1.967934247843961
1969Q3,91011.0,3.32179145143896
1969Q4,91637.0,0.6878289437540541
1970Q1,92022.0,0.4201359712779684
1970Q2,92791.0,0.8356697311512562
1970Q3,93452.0,0.7123535687728388
1970Q4,91062.0,-2.5574626546248314
1971Q1,92610.0,1.699940699743041
1971Q2,94649.0,2.201706079257093
1971Q3,95823.0,1.2403723230039354
1971Q4,98583.0,2.880310572618261
1972Q1,103422.0,4.908554213201066
1972Q2,106093.0,2.5826226528204765
1972Q3,108256.0,2.0387772991620645
1972Q4,113683.0,5.0131170558675775
1973Q1,118648.0,4.3674076159144315
1973Q2,124416.0,4.861438878025748
1973Q3,128443.0,3.2367219650205836
1973Q4,131694.0,2.5310838270672598
1974Q1,135263.0,2.710070314516977
1974Q2,140052.0,3.5405099694668873
1974Q3,144459.0,3.146688372890072
1974Q4,146363.0,1.3180210301884987
1975Q1,142054.0,-2.9440500672984316
1975Q2,141574.0,-0.33789967195573256
1975Q3,144624.0,2.1543503750688586
1975Q4,148459.0,2.6517037282885347
1976Q1,153738.0,3.555863908553869
1976Q2,158323.0,2.982346589652529
1976Q3,164528.0,3.9192031479949208
1976Q4,170616.0,3.7002820188660968
1977Q1,180772.0,5.952548412810055
1977Q2,189006.0,4.554908946075709
1977Q3,196419.0,3.9220977111837696
1977Q4,205941.0,4.847799856429358
1978Q1,210406.0,2.168096687886334
1978Q2,229998.0,9.31152153455701
1978Q3,241072.0,4.8148244767345805
1978Q4,252403.0,4.700255525320229
1979Q1,262195.0,3.879510148453069
1979Q2,267268.0,1.93481950456722
1979Q3,280949.0,5.118832033763865
1979Q4,287525.0,2.3406383364952266
1980Q1,298295.0,3.7457612381532
1980Q2,291582.0,-2.250456762600783
1980Q3,299348.0,2.663401718898961
1980Q4,310634.0,3.770193888050022
1981Q1,323482.0,4.136057224901335
1981Q2,336160.0,3.9192288906337858
1981Q3,348869.0,3.780640171346983
1981Q4,363695.0,4.249732707692577
1982Q1,360727.0,-0.8160684089690506
1982Q2,353443.0,-2.019255558912969
1982Q3,345286.0,-2.3078685955019607
1982Q4,340166.0,-1.4828287274896712
1983Q1,333654.0,-1.914359459793158
1983Q2,336968.0,0.9932444987921674
1983Q3,350702.0,4.075757935471613
1983Q4,371746.0,6.0005360676585795
1984Q1,383576.0,3.1822803742340255
1984Q2,402275.0,4.8749139675057895
1984Q3,414453.0,3.0272823317382347
1984Q4,423246.0,2.121591591808958
1985Q1,427487.0,1.002017739092631
1985Q2,432891.0,1.2641320086926644
1985Q3,428484.0,-1.0180391830738045
1985Q4,437454.0,2.0934270591200566
1986Q1,433956.0,-0.7996269322031568
1986Q2,426617.0,-1.6911852814571082
1986Q3,422208.0,-1.0334796784938205
1986Q4,424829.0,0.6207840685160004
1987Q1,410764.0,-3.310743852232312
1987Q2,416522.0,1.4017781499839232
1987Q3,428099.0,2.779445023312088
1987Q4,433541.0,1.271201287552648
1988Q1,430594.0,-0.6797511654030419
1988Q2,448229.0,4.095505278754463
1988Q3,455900.0,1.711401984253591
1988Q4,467505.0,2.545514367185797
1989Q1,475355.0,1.6791264264553352
1989Q2,480887.0,1.163761820113396
1989Q3,498423.0,3.646594730154895
1989Q4,504535.0,1.2262676481622936
1990Q1,519805.0,3.026549198767192
1990Q2,520688.0,0.16987139408046747
1990Q3,530927.0,1.9664367145008077
1990Q4,528461.0,-0.4644706334392512
1991Q1,526062.0,-0.453959705635798
1991Q2,524525.0,-0.29217088480064657
1991Q3,519645.0,-0.9303655688480017
1991Q4,521384.0,0.3346515409558437
1992Q1,521308.0,-0.014576588464543239
1992Q2,539207.0,3.4334788647018666
1992Q3,549924.0,1.9875483812339167
1992Q4,564047.0,2.5681730566405436
1993Q1,569368.0,0.9433611028868194
1993Q2,575546.0,1.0850627362268384
1993Q3,581939.0,1.1107713371303118
1993Q4,605105.0,3.980829605852154
1994Q1,613049.0,1.3128300047099195
1994Q2,625007.0,1.9505781756433915
1994Q3,640335.0,2.452452532531635
1994Q4,669517.0,4.557302037214894
1995Q1,703844.0,5.127128960130967
1995Q2,715155.0,1.6070322400986603
1995Q3,721848.0,0.9358810327831035
1995Q4,735377.0,1.8742172867417972
1996Q1,750856.0,2.104906734912837
1996Q2,766319.0,2.059382890993744
1996Q3,790295.0,3.1287231557615147
1996Q4,811590.0,2.694563422519436
1997Q1,828833.0,2.1245949309380396
1997Q2,847379.0,2.2376039564061756
1997Q3,880995.0,3.9670560634615715
1997Q4,876709.0,-0.4864953830612029
1998Q1,892604.0,1.8130303213494958
