date,profits_nom,inv_nom,gdpdef,profits_real,inv_real,d_profits_real,inv_real_lag,IROR,IROR_pct
1964Q2,71.243,51001.0,16.234,438.85056055192797,314161.63607244054,1.8992732765066194,306377.72426992655,6.199123258821883e-06,0.0006199123258821882
1964Q3,72.604,52678.0,16.299,445.45064114362845,323197.74219277257,6.6000805917004755,314161.63607244054,2.100855048443472e-05,0.0021008550484434723
1964Q4,72.324,54090.0,16.373,441.72723386062415,330360.9601172662,-3.723407283004292,323197.74219277257,-1.1520523806083555e-05,-0.0011520523806083556
1965Q1,80.194,57701.0,16.455,487.35338802795513,350659.3740504407,45.62615416733098,330360.9601172662,0.00013811000594965986,0.013811000594965987
1965Q2,82.234,60143.0,16.531,497.4532696146634,363819.49065392296,10.09988158670825,350659.3740504407,2.8802542678512367e-05,0.0028802542678512365
1965Q3,83.644,62815.0,16.595,504.0313347393794,378517.6257909009,6.5780651247160336,363819.49065392296,1.808057372872666e-05,0.001808057372872666
1965Q4,87.892,66132.0,16.709,526.0159195643067,395786.7017774852,21.98458482492731,378517.6257909009,5.8080742684019535e-05,0.005808074268401953
1966Q1,91.642,69416.0,16.816,544.9690770694577,412797.3358705995,18.95315750515101,395786.7017774852,4.7887302478916145e-05,0.004788730247891615
1966Q2,91.106,71614.0,16.954,537.3717116904566,422401.7930871771,-7.5973653790011895,412797.3358705995,-1.8404589174438744e-05,-0.0018404589174438745
1966Q3,89.664,73030.0,17.118,523.7995092884682,426626.94239981304,-13.572202401988307,422401.7930871771,-3.213102459341885e-05,-0.0032131024593418846
1966Q4,91.043,73734.0,17.261,527.4491628526738,427171.07931174326,3.6496535642055505,426626.94239981304,8.554672013154953e-06,0.0008554672013154954
1967Q1,88.722,72873.0,17.333,511.8675359141522,420429.2390238274,-15.581626938521595,427171.07931174326,-3.647631521222519e-05,-0.0036476315212225193
1967Q2,87.918,73153.0,17.421,504.6667814706389,419912.7489811147,-7.20075444351329,420429.2390238274,-1.7127149529924095e-05,-0.0017127149529924095
1967Q3,88.647,73581.0,17.588,504.01978621787583,418359.1084830566,-0.6469952527630767,419912.7489811147,-1.5407849710039998e-06,-0.00015407849710039997
1967Q4,92.17,75874.0,17.784,518.2748538011696,426641.9253261359,14.255067583293737,418359.1084830566,3.407375934751774e-05,0.0034073759347517736
1968Q1,92.735,78792.0,17.981,515.7388354374061,438195.8734219453,-2.5360183637634464,426641.9253261359,-5.944137725857228e-06,-0.0005944137725857227
1968Q2,96.508,78596.0,18.171,531.1100104562215,432535.35853833036,15.371175018815393,438195.8734219453,3.5078319881881365e-05,0.0035078319881881367
1968Q3,97.25,80320.0,18.349,530.0016349664832,437735.02643195813,-1.1083754897383642,432535.35853833036,-2.5625084004320592e-06,-0.0002562508400432059
1968Q4,99.302,83645.0,18.608,533.652192605331,449510.9630266552,3.6505576388478858,437735.02643195813,8.339651657771397e-06,0.0008339651657771397
1969Q1,98.588,86385.0,18.8,524.4042553191489,459494.6808510638,-9.24793728618215,449510.9630266552,-2.0573329789141902e-05,-0.0020573329789141904
1969Q2,96.569,88085.0,19.039,507.21676558642787,462655.60165975103,-17.18748973272102,459494.6808510638,-3.7405198469080876e-05,-0.003740519846908088
1969Q3,94.468,91011.0,19.307,489.29403843165693,471388.61552804685,-17.92272715477094,462655.60165975103,-3.8738809365917454e-05,-0.0038738809365917453
1969Q4,89.96,91637.0,19.556,460.0122724483534,468587.6457353242,-29.281765983303558,471388.61552804685,-6.211810175029851e-05,-0.006211810175029852
1970Q1,83.211,92022.0,19.832,419.5794675272287,464007.6643807987,-40.43280492112467,468587.6457353242,-8.628653633767082e-05,-0.008628653633767082
1970Q2,87.644,92791.0,20.108,435.8663218619455,461463.0992639745,16.286854334716793,464007.6643807987,3.510039937907277e-05,0.0035100399379072765
1970Q3,86.826,93452.0,20.273,428.2839244315099,460967.789670991,-7.582397430435606,461463.0992639745,-1.6431210735006538e-05,-0.001643121073500654
1970Q4,81.904,91062.0,20.541,398.7342388393943,443318.24156564916,-29.549685592115566,460967.789670991,-6.41035800206479e-05,-0.006410358002064791
1971Q1,94.801,92610.0,20.853,454.61564283316545,444108.76132930507,55.88140399377113,443318.24156564916,0.00012605257071402482,0.012605257071402481
1971Q2,96.1,94649.0,21.127,454.8681781606475,448000.18933118763,0.25253532748206453,444108.76132930507,5.686339686841046e-07,5.686339686841046e-05
1971Q3,97.824,95823.0,21.342,458.3637897104301,448987.91116109083,3.495611549782609,448000.18933118763,7.802701054660607e-06,0.0007802701054660607
1971Q4,101.91,98583.0,21.52,473.5594795539033,458099.44237918215,15.19568984347319,448987.91116109083,3.384431844540505e-05,0.003384431844540505
1972Q1,106.628,103422.0,21.848,488.0446722812157,473370.5602343464,14.48519272731238,458099.44237918215,3.16201928823187e-05,0.0031620192882318696
1972Q2,108.211,106093.0,21.984,492.2261644832605,482591.885007278,4.181492202044808,473370.5602343464,8.83344371896453e-06,0.0008833443718964531
1972Q3,113.264,108256.0,22.194,510.336126881139,487771.4697666036,18.10996239787852,482591.885007278,3.752645446494692e-05,0.0037526454464946925
1972Q4,120.584,113683.0,22.477,536.477287894292,505774.7920096098,26.141161013152953,487771.4697666036,5.35930505030591e-05,0.00535930505030591
1973Q1,126.635,118648.0,22.736,556.9801196340605,521850.80928923294,20.502831739768567,505774.7920096098,4.0537472534572284e-05,0.004053747253457228
1973Q2,123.469,124416.0,23.086,534.8219700251235,538924.0232175345,-22.158149608937038,521850.80928923294,-4.246069798975056e-05,-0.004246069798975056
1973Q3,124.129,128443.0,23.535,527.4229870405778,545753.1336307627,-7.3989829845456825,538924.0232175345,-1.3729176406669688e-05,-0.0013729176406669689
1973Q4,127.699,131694.0,24.004,531.9905015830694,548633.5610731544,4.567514542491608,545753.1336307627,8.36919526619123e-06,0.000836919526619123
1974Q1,122.344,135263.0,24.457,500.24123972686755,553064.562293004,-31.749261856201883,548633.5610731544,-5.7869704132023485e-05,-0.005786970413202349
1974Q2,123.48,140052.0,25.035,493.2294787297783,559424.8052726183,-7.0117609970892545,553064.562293004,-1.2678015326128499e-05,-0.00126780153261285
1974Q3,120.399,144459.0,25.769,467.2241840971711,560592.1844076216,-26.005294632607217,559424.8052726183,-4.64857732218977e-05,-0.004648577322189771
1974Q4,118.949,146363.0,26.527,448.4072831454744,551751.0461039696,-18.816900951696653,560592.1844076216,-3.356611361177019e-05,-0.003356611361177019
1975Q1,120.219,142054.0,27.13,443.1220051603391,523604.86546258756,-5.2852779851353375,551751.0461039696,-9.579099165204669e-06,-0.0009579099165204669
1975Q2,133.453,141574.0,27.533,484.7019939708713,514197.50844441215,41.5799888105322,523604.86546258756,7.941100542256737e-05,0.007941100542256737
1975Q3,153.571,144624.0,28.019,548.0959349013169,516164.03155001963,63.39394093044564,514197.50844441215,0.0001232871413987003,0.012328714139870032
1975Q4,158.121,148459.0,28.488,555.0442291491154,521128.1943274361,6.948294247798458,516164.03155001963,1.3461407271895743e-05,0.0013461407271895744
1976Q1,172.337,153738.0,28.789,598.6210010768001,534016.4646219042,43.57677192768472,521128.1943274361,8.362006201549803e-05,0.008362006201549803
1976Q2,168.644,158323.0,29.079,579.9511675091991,544458.200075656,-18.669833567601017,534016.4646219042,-3.496115720106061e-05,-0.0034961157201060613
1976Q3,169.701,164528.0,29.455,576.1364793753183,558574.0960787643,-3.814688133880736,544458.200075656,-7.006393022183633e-06,-0.0007006393022183634
1976Q4,168.206,170616.0,29.983,561.0045692559116,569042.4573925225,-15.131910119406712,558574.0960787643,-2.7090246800977624e-05,-0.0027090246800977624
1977Q1,176.225,180772.0,30.465,578.4506811094699,593376.0052519285,17.44611185355825,569042.4573925225,3.0658717336312946e-05,0.0030658717336312946
1977Q2,196.266,189006.0,30.895,635.2678426929923,611768.8946431461,56.81716158352242,593376.0052519285,9.575237468424372e-05,0.00957523746842437
1977Q3,209.986,196419.0,31.271,671.5039493460395,628118.704230757,36.23610665304716,611768.8946431461,5.9231691853480426e-05,0.005923169185348042
1977Q4,205.061,205941.0,31.947,641.8787366575892,644633.2989013053,-29.625212688450233,628118.704230757,-4.7164990453088914e-05,-0.004716499045308891
1978Q1,195.582,210406.0,32.411,603.4432754311807,649180.833667582,-38.435461226408506,644633.2989013053,-5.9623760193456986e-05,-0.005962376019345699
1978Q2,225.822,229998.0,33.031,683.6668584057401,696309.5274136418,80.22358297455935,649180.833667582,0.00012357663506689176,0.012357663506689176
1978Q3,228.418,241072.0,33.592,679.9773755656109,717647.0588235294,-3.6894828401291306,696309.5274136418,-5.298624670314755e-06,-0.0005298624670314755
1978Q4,236.393,252403.0,34.279,689.6146328656027,736319.612590799,9.637257299991802,717647.0588235294,1.342896509015251e-05,0.001342896509015251
