date,RGDP,RGDP_growth
1963Q1,3893.482,
1963Q2,3937.183,1.122414332466426
1963Q3,4023.755,2.1988309915998316
1963Q4,4050.147,0.6559047456915268
1964Q1,4135.553,2.108713584963695
1964Q2,4180.592,1.0890683785215627
1964Q3,4245.918,1.5626016602433346
1964Q4,4259.046,0.30919108659188677
1965Q1,4362.111,2.4199081202691763
1965Q2,4417.225,1.263470828688229
1965Q3,4515.427,2.2231604683935924
1965Q4,4619.458,2.303901712949852
1966Q1,4731.888,2.433835311415322
1966Q2,4748.046,0.3414704659112866
1966Q3,4788.254,0.8468325707038149
1966Q4,4827.537,0.8204034288907813
1967Q1,4870.299,0.8857933144789998
1967Q2,4873.287,0.06135146938617275
1967Q3,4919.392,0.9460760263042101
1967Q4,4956.477,0.7538533217112953
1968Q1,5057.553,2.0392710386833324
1968Q2,5142.033,1.6703730044944853
1968Q3,5181.859,0.7745185610438465
1968Q4,5202.212,0.39277409902507276
1969Q1,5283.597,1.5644306691076748
1969Q2,5299.625,0.3033539461847701
1969Q3,5334.6,0.6599523551194642
1969Q4,5308.556,-0.48820905035055207
1970Q1,5300.652,-0.1488917136788115
1970Q2,5308.164,0.14171841501762206
1970Q3,5357.077,0.9214673849564647
1970Q4,5299.672,-1.0715731732062195
1971Q1,5443.619,2.716149225838893
1971Q2,5473.059,0.5408166883097643
1971Q3,5518.072,0.8224468254407702
1971Q4,5531.032,0.234864641128274
1972Q1,5632.649,1.8372159119672382
1972Q2,5760.47,2.2692875057543915
1972Q3,5814.854,0.9440896315751957
1972Q4,5912.22,1.6744358499800605
1973Q1,6058.544,2.4749417308557398
1973Q2,6124.506,1.0887434340660196
1973Q3,6092.301,-0.5258383288382795
1973Q4,6150.131,0.9492308406954919
1974Q1,6097.258,-0.8597052648146919
1974Q2,6111.751,0.23769701068907523
1974Q3,6053.978,-0.9452773845007756
1974Q4,6030.464,-0.38840577220465855
1975Q1,5957.035,-1.2176343312886084
1975Q2,5999.61,0.7147011894339972
1975Q3,6102.326,1.712044616233399
1975Q4,6184.53,1.3470928953975836
1976Q1,6323.649,2.249467623247048
1976Q2,6370.025,0.7333740376798126
1976Q3,6404.895,0.5474075847426096
1976Q4,6451.177,0.7226035711748402
1977Q1,6527.703,1.1862331478426524
1977Q2,6654.466,1.9419235219494402
1977Q3,6774.457,1.8031649722156429
1977Q4,6774.592,0.001992779642701059
